# eslint-seatbelt temporarily allowed errors
# docs: https://github.com/justjake/eslint-seatbelt#readme

".github/actions/javascript/awaitStagingDeploys/index.js"	"@typescript-eslint/no-unused-expressions"	11
".github/actions/javascript/awaitStagingDeploys/index.js"	"@typescript-eslint/no-unused-vars"	34
".github/actions/javascript/awaitStagingDeploys/index.js"	"@typescript-eslint/no-use-before-define"	45
".github/actions/javascript/awaitStagingDeploys/index.js"	"@typescript-eslint/prefer-for-of"	22
".github/actions/javascript/awaitStagingDeploys/index.js"	"arrow-body-style"	27
".github/actions/javascript/awaitStagingDeploys/index.js"	"block-scoped-var"	7
".github/actions/javascript/awaitStagingDeploys/index.js"	"default-case"	6
".github/actions/javascript/awaitStagingDeploys/index.js"	"eqeqeq"	18
".github/actions/javascript/awaitStagingDeploys/index.js"	"getter-return"	1
".github/actions/javascript/awaitStagingDeploys/index.js"	"guard-for-in"	6
".github/actions/javascript/awaitStagingDeploys/index.js"	"lines-around-directive"	6
".github/actions/javascript/awaitStagingDeploys/index.js"	"max-classes-per-file"	1
".github/actions/javascript/awaitStagingDeploys/index.js"	"no-await-in-loop"	6
".github/actions/javascript/awaitStagingDeploys/index.js"	"no-bitwise"	23
".github/actions/javascript/awaitStagingDeploys/index.js"	"no-buffer-constructor"	5
".github/actions/javascript/awaitStagingDeploys/index.js"	"no-case-declarations"	1
".github/actions/javascript/awaitStagingDeploys/index.js"	"no-compare-neg-zero"	1
".github/actions/javascript/awaitStagingDeploys/index.js"	"no-cond-assign"	20
".github/actions/javascript/awaitStagingDeploys/index.js"	"no-console"	8
".github/actions/javascript/awaitStagingDeploys/index.js"	"no-constant-condition"	1
".github/actions/javascript/awaitStagingDeploys/index.js"	"no-control-regex"	4
".github/actions/javascript/awaitStagingDeploys/index.js"	"no-else-return"	46
".github/actions/javascript/awaitStagingDeploys/index.js"	"no-empty"	5
".github/actions/javascript/awaitStagingDeploys/index.js"	"no-extend-native"	2
".github/actions/javascript/awaitStagingDeploys/index.js"	"no-invalid-this"	140
".github/actions/javascript/awaitStagingDeploys/index.js"	"no-lone-blocks"	2
".github/actions/javascript/awaitStagingDeploys/index.js"	"no-lonely-if"	10
".github/actions/javascript/awaitStagingDeploys/index.js"	"no-misleading-character-class"	1
".github/actions/javascript/awaitStagingDeploys/index.js"	"no-multi-assign"	109
".github/actions/javascript/awaitStagingDeploys/index.js"	"no-nested-ternary"	17
".github/actions/javascript/awaitStagingDeploys/index.js"	"no-param-reassign"	971
".github/actions/javascript/awaitStagingDeploys/index.js"	"no-promise-executor-return"	5
".github/actions/javascript/awaitStagingDeploys/index.js"	"no-prototype-builtins"	2
".github/actions/javascript/awaitStagingDeploys/index.js"	"no-restricted-globals"	24
".github/actions/javascript/awaitStagingDeploys/index.js"	"no-sequences"	4
".github/actions/javascript/awaitStagingDeploys/index.js"	"no-undef"	16
".github/actions/javascript/awaitStagingDeploys/index.js"	"no-undef-init"	1
".github/actions/javascript/awaitStagingDeploys/index.js"	"no-underscore-dangle"	517
".github/actions/javascript/awaitStagingDeploys/index.js"	"no-useless-escape"	6
".github/actions/javascript/awaitStagingDeploys/index.js"	"no-var"	338
".github/actions/javascript/awaitStagingDeploys/index.js"	"no-void"	104
".github/actions/javascript/awaitStagingDeploys/index.js"	"object-shorthand"	49
".github/actions/javascript/awaitStagingDeploys/index.js"	"one-var"	67
".github/actions/javascript/awaitStagingDeploys/index.js"	"operator-assignment"	4
".github/actions/javascript/awaitStagingDeploys/index.js"	"prefer-arrow-callback"	82
".github/actions/javascript/awaitStagingDeploys/index.js"	"prefer-const"	26
".github/actions/javascript/awaitStagingDeploys/index.js"	"prefer-exponentiation-operator"	18
".github/actions/javascript/awaitStagingDeploys/index.js"	"prefer-object-spread"	31
".github/actions/javascript/awaitStagingDeploys/index.js"	"prefer-rest-params"	70
".github/actions/javascript/awaitStagingDeploys/index.js"	"prefer-spread"	9
".github/actions/javascript/awaitStagingDeploys/index.js"	"prefer-template"	48
".github/actions/javascript/awaitStagingDeploys/index.js"	"radix"	7
".github/actions/javascript/awaitStagingDeploys/index.js"	"require-yield"	19
".github/actions/javascript/awaitStagingDeploys/index.js"	"spaced-comment"	31
".github/actions/javascript/awaitStagingDeploys/index.js"	"strict"	95
".github/actions/javascript/awaitStagingDeploys/index.js"	"yoda"	5
".github/actions/javascript/bumpVersion/bumpVersion.ts"	"no-console"	6
".github/actions/javascript/bumpVersion/index.js"	"@typescript-eslint/ban-ts-comment"	1
".github/actions/javascript/bumpVersion/index.js"	"@typescript-eslint/class-literal-property-style"	1
".github/actions/javascript/bumpVersion/index.js"	"@typescript-eslint/default-param-last"	1
".github/actions/javascript/bumpVersion/index.js"	"@typescript-eslint/no-loop-func"	1
".github/actions/javascript/bumpVersion/index.js"	"@typescript-eslint/no-redeclare"	3
".github/actions/javascript/bumpVersion/index.js"	"@typescript-eslint/no-shadow"	148
".github/actions/javascript/bumpVersion/index.js"	"@typescript-eslint/no-this-alias"	6
".github/actions/javascript/bumpVersion/index.js"	"@typescript-eslint/no-unused-expressions"	5
".github/actions/javascript/bumpVersion/index.js"	"@typescript-eslint/no-unused-vars"	21
".github/actions/javascript/bumpVersion/index.js"	"@typescript-eslint/no-use-before-define"	109
".github/actions/javascript/bumpVersion/index.js"	"@typescript-eslint/prefer-for-of"	20
".github/actions/javascript/bumpVersion/index.js"	"arrow-body-style"	18
".github/actions/javascript/bumpVersion/index.js"	"block-scoped-var"	6
".github/actions/javascript/bumpVersion/index.js"	"default-case"	4
".github/actions/javascript/bumpVersion/index.js"	"getter-return"	1
".github/actions/javascript/bumpVersion/index.js"	"lines-around-directive"	6
".github/actions/javascript/bumpVersion/index.js"	"max-classes-per-file"	1
".github/actions/javascript/bumpVersion/index.js"	"no-await-in-loop"	4
".github/actions/javascript/bumpVersion/index.js"	"no-bitwise"	4
".github/actions/javascript/bumpVersion/index.js"	"no-buffer-constructor"	1
